HR(t),Cal(t),Inte(t),METs(t),Steps(t),Timestamp,HR(t-1),Cal(t-1),Inte(t-1),METs(t-1),Steps(t-1),HR(t-2),Cal(t-2),Inte(t-2),METs(t-2),Steps(t-2)
58.6,1.14146995544434,0,11,0,2016-04-12T12:34:00Z,64,2.49047994613647,1,24,4,68.125,1.14146995544434,0,11,0
59.5714285714286,1.03770005702972,0,10,0,2016-04-12T12:35:00Z,58.6,1.14146995544434,0,11,0,64,2.49047994613647,1,24,4
65.3333333333333,1.14146995544434,0,11,0,2016-04-12T12:36:00Z,59.5714285714286,1.03770005702972,0,10,0,58.6,1.14146995544434,0,11,0
72,2.49047994613647,1,24,6,2016-04-12T12:37:00Z,65.3333333333333,1.14146995544434,0,11,0,59.5714285714286,1.03770005702972,0,10,0
72.4444444444444,3.32064008712769,1,32,33,2016-04-12T12:38:00Z,72,2.49047994613647,1,24,6,65.3333333333333,1.14146995544434,0,11,0
69.8333333333333,1.14146995544434,0,11,0,2016-04-12T12:39:00Z,72.4444444444444,3.32064008712769,1,32,33,72,2.49047994613647,1,24,6
66,1.14146995544434,0,11,0,2016-04-12T12:40:00Z,69.8333333333333,1.14146995544434,0,11,0,72.4444444444444,3.32064008712769,1,32,33
64.8571428571429,1.14146995544434,0,11,0,2016-04-12T12:41:00Z,66,1.14146995544434,0,11,0,69.8333333333333,1.14146995544434,0,11,0
66.8,1.14146995544434,0,11,0,2016-04-12T12:42:00Z,64.8571428571429,1.14146995544434,0,11,0,66,1.14146995544434,0,11,0
68.2857142857143,1.14146995544434,0,11,0,2016-04-12T12:43:00Z,66.8,1.14146995544434,0,11,0,64.8571428571429,1.14146995544434,0,11,0
67.4,1.14146995544434,0,11,0,2016-04-12T12:44:00Z,68.2857142857143,1.14146995544434,0,11,0,66.8,1.14146995544434,0,11,0
66.8,1.14146995544434,0,11,0,2016-04-12T12:45:00Z,67.4,1.14146995544434,0,11,0,68.2857142857143,1.14146995544434,0,11,0
66.6,1.14146995544434,0,11,0,2016-04-12T12:46:00Z,66.8,1.14146995544434,0,11,0,67.4,1.14146995544434,0,11,0
64.8,1.03770005702972,0,10,0,2016-04-12T12:47:00Z,66.6,1.14146995544434,0,11,0,66.8,1.14146995544434,0,11,0
64.75,1.14146995544434,0,11,0,2016-04-12T12:48:00Z,64.8,1.03770005702972,0,10,0,66.6,1.14146995544434,0,11,0
65.6666666666667,1.14146995544434,0,11,0,2016-04-12T12:49:00Z,64.75,1.14146995544434,0,11,0,64.8,1.03770005702972,0,10,0
66.3333333333333,1.14146995544434,0,11,0,2016-04-12T12:50:00Z,65.6666666666667,1.14146995544434,0,11,0,64.75,1.14146995544434,0,11,0
62.1666666666667,1.14146995544434,0,11,0,2016-04-12T12:51:00Z,66.3333333333333,1.14146995544434,0,11,0,65.6666666666667,1.14146995544434,0,11,0
65.625,1.14146995544434,0,11,0,2016-04-12T12:52:00Z,62.1666666666667,1.14146995544434,0,11,0,66.3333333333333,1.14146995544434,0,11,0
62.8,1.14146995544434,0,11,0,2016-04-12T12:53:00Z,65.625,1.14146995544434,0,11,0,62.1666666666667,1.14146995544434,0,11,0
65.1111111111111,1.03770005702972,0,10,0,2016-04-12T12:54:00Z,62.8,1.14146995544434,0,11,0,65.625,1.14146995544434,0,11,0
63.8333333333333,1.14146995544434,0,11,0,2016-04-12T12:55:00Z,65.1111111111111,1.03770005702972,0,10,0,62.8,1.14146995544434,0,11,0
68.75,1.14146995544434,0,11,0,2016-04-12T12:56:00Z,63.8333333333333,1.14146995544434,0,11,0,65.1111111111111,1.03770005702972,0,10,0
73.4,1.14146995544434,0,11,0,2016-04-12T12:57:00Z,68.75,1.14146995544434,0,11,0,63.8333333333333,1.14146995544434,0,11,0
68,1.14146995544434,0,11,0,2016-04-12T12:58:00Z,73.4,1.14146995544434,0,11,0,68.75,1.14146995544434,0,11,0
66.2,1.14146995544434,0,11,0,2016-04-12T12:59:00Z,68,1.14146995544434,0,11,0,73.4,1.14146995544434,0,11,0
66.2,1.14146995544434,0,11,0,2016-04-12T13:00:00Z,66.2,1.14146995544434,0,11,0,68,1.14146995544434,0,11,0
66.25,1.14146995544434,0,11,0,2016-04-12T13:01:00Z,66.2,1.14146995544434,0,11,0,66.2,1.14146995544434,0,11,0
68.25,1.14146995544434,0,11,0,2016-04-12T13:02:00Z,66.25,1.14146995544434,0,11,0,66.2,1.14146995544434,0,11,0
73,2.69801998138428,1,26,18,2016-04-12T13:03:00Z,68.25,1.14146995544434,0,11,0,66.25,1.14146995544434,0,11,0
80.9090909090909,3.73571991920471,1,36,47,2016-04-12T13:04:00Z,73,2.69801998138428,1,26,18,68.25,1.14146995544434,0,11,0
75.5,3.52817988395691,1,34,35,2016-04-12T13:05:00Z,80.9090909090909,3.73571991920471,1,36,47,73,2.69801998138428,1,26,18
74.375,1.14146995544434,0,11,0,2016-04-12T13:06:00Z,75.5,3.52817988395691,1,34,35,80.9090909090909,3.73571991920471,1,36,47
